transaction_id,transaction_date,customer_id,merchant_id,amount,fraud_score,review_flag,model_version,region
TXN001,2026-05-01,C001,M001,125.50,0.12,0,model_v1,US
TXN002,2026-05-01,C002,M002,780.00,0.87,1,model_v1,US
TXN003,2026-05-01,C003,M003,45.25,0.31,0,model_v1,EU
TXN004,2026-05-01,C004,M004,999.99,0.92,1,model_v1,US
TXN005,2026-05-01,C005,M005,18.75,0.08,0,model_v1,APAC
TXN006,2026-05-02,C006,M001,250.00,0.41,0,model_v1,US
TXN007,2026-05-02,C007,M002,1200.00,0.95,1,model_v1,EU
TXN008,2026-05-02,C008,M003,67.30,0.22,0,model_v1,US
TXN009,2026-05-02,C009,M004,430.10,0.74,1,model_v1,APAC
TXN010,2026-05-02,C010,M005,91.00,0.18,0,model_v1,US
TXN011,2026-05-03,C011,M001,150.00,0.55,1,model_v2,US
TXN012,2026-05-03,C012,M002,35.20,0.14,0,model_v2,EU
TXN013,2026-05-03,C013,M003,640.00,0.82,1,model_v2,US
TXN014,2026-05-03,C014,M004,22.00,0.09,0,model_v2,APAC
TXN015,2026-05-03,C015,M005,305.75,0.49,0,model_v2,US
